2019-10-23 15:58:51,650 [WARN ]  (DeprecationWarning.java.verifyIndirectTypes:70) - Using indirect @Deprecated Class org.springframework.web.util.Log4jConfigListener - (seen from class com.tscloud.portal.utils.LoggerIntergrationListener)
2019-10-23 16:24:51,081 [WARN ]  (RegistryDirectory.java.notify:200) -  [DUBBO] Unsupported category providers,configurators,routers in notified url: empty://192.168.64.1/com.tscloud.domain.resource.provider.ICatalogProvider?application=com-tscloud-portal&category=providers,configurators,routers&default.loadbalance=random&default.timeout=20000&dubbo=2.0.2&interface=com.tscloud.domain.resource.provider.ICatalogProvider&methods=findAllByUserId,findByMap,findById,deleteById,save,update,checkName,findByPage,findAll&pid=19116&side=consumer&timestamp=1571817533497 from registry 127.0.0.1:2181 to consumer 192.168.64.1, dubbo version: 2.6.5, current host: 192.168.64.1
2019-10-23 16:24:51,082 [WARN ]  (RegistryDirectory.java.notify:200) -  [DUBBO] Unsupported category providers,configurators,routers in notified url: empty://192.168.64.1/com.tscloud.domain.resource.provider.ILayoutProvider?application=com-tscloud-portal&category=providers,configurators,routers&default.loadbalance=random&default.timeout=20000&dubbo=2.0.2&interface=com.tscloud.domain.resource.provider.ILayoutProvider&methods=findByMap,findById,save,deleteById,update,findByPage,findAll&pid=19116&side=consumer&timestamp=1571817536854 from registry 127.0.0.1:2181 to consumer 192.168.64.1, dubbo version: 2.6.5, current host: 192.168.64.1
2019-10-23 16:24:51,083 [WARN ]  (RegistryDirectory.java.notify:200) -  [DUBBO] Unsupported category providers,configurators,routers in notified url: empty://192.168.64.1/com.tscloud.domain.resource.provider.IThemeProvider?application=com-tscloud-portal&category=providers,configurators,routers&default.loadbalance=random&default.timeout=20000&dubbo=2.0.2&interface=com.tscloud.domain.resource.provider.IThemeProvider&methods=findByMap,save,update,findByPage,updateAllData,findAll,moveToCatalog,saveAllThemePage,findById,updateDataSetsId,deleteById,findCloneTheme&pid=19116&side=consumer&timestamp=1571817536114 from registry 127.0.0.1:2181 to consumer 192.168.64.1, dubbo version: 2.6.5, current host: 192.168.64.1
2019-10-23 16:24:51,085 [WARN ]  (RegistryDirectory.java.notify:200) -  [DUBBO] Unsupported category providers,configurators,routers in notified url: empty://192.168.64.1/com.tscloud.domain.resource.provider.IDataSourceProvider?application=com-tscloud-portal&category=providers,configurators,routers&default.loadbalance=random&default.timeout=20000&dubbo=2.0.2&interface=com.tscloud.domain.resource.provider.IDataSourceProvider&methods=getDataById,findByMap,findById,getTableByParam,save,deleteById,update,checkName,findByPage,findAll,checkConn&pid=19116&side=consumer&timestamp=1571817535832 from registry 127.0.0.1:2181 to consumer 192.168.64.1, dubbo version: 2.6.5, current host: 192.168.64.1
2019-10-23 16:24:51,088 [WARN ]  (RegistryDirectory.java.notify:200) -  [DUBBO] Unsupported category providers,configurators,routers in notified url: empty://192.168.64.1/com.tscloud.domain.resource.provider.ICatalogProvider?application=com-tscloud-portal&category=providers,configurators,routers&default.loadbalance=random&default.timeout=20000&dubbo=2.0.2&interface=com.tscloud.domain.resource.provider.ICatalogProvider&methods=findAllByUserId,findByMap,findById,deleteById,save,update,checkName,findByPage,findAll&pid=19116&side=consumer&timestamp=1571817536490 from registry 127.0.0.1:2181 to consumer 192.168.64.1, dubbo version: 2.6.5, current host: 192.168.64.1
2019-10-23 16:24:51,089 [WARN ]  (RegistryDirectory.java.notify:200) -  [DUBBO] Unsupported category providers,configurators,routers in notified url: empty://192.168.64.1/com.tscloud.domain.resource.provider.IDataSetsCatalogProvider?application=com-tscloud-portal&category=providers,configurators,routers&default.loadbalance=random&default.timeout=20000&dubbo=2.0.2&interface=com.tscloud.domain.resource.provider.IDataSetsCatalogProvider&methods=findByMap,findById,save,deleteById,update,checkName,findByPage,findAll&pid=19116&side=consumer&timestamp=1571817535902 from registry 127.0.0.1:2181 to consumer 192.168.64.1, dubbo version: 2.6.5, current host: 192.168.64.1
2019-10-23 16:24:51,090 [WARN ]  (RegistryDirectory.java.notify:200) -  [DUBBO] Unsupported category providers,configurators,routers in notified url: empty://192.168.64.1/com.tscloud.domain.resource.provider.ILayoutProvider?application=com-tscloud-portal&category=providers,configurators,routers&default.loadbalance=random&default.timeout=20000&dubbo=2.0.2&interface=com.tscloud.domain.resource.provider.ILayoutProvider&methods=findByMap,findById,save,deleteById,update,findByPage,findAll&pid=19116&side=consumer&timestamp=1571817536171 from registry 127.0.0.1:2181 to consumer 192.168.64.1, dubbo version: 2.6.5, current host: 192.168.64.1
2019-10-23 16:24:51,091 [WARN ]  (RegistryDirectory.java.notify:200) -  [DUBBO] Unsupported category providers,configurators,routers in notified url: empty://192.168.64.1/com.tscloud.domain.resource.provider.IThemeProvider?application=com-tscloud-portal&category=providers,configurators,routers&default.loadbalance=random&default.timeout=20000&dubbo=2.0.2&interface=com.tscloud.domain.resource.provider.IThemeProvider&methods=findByMap,save,update,findByPage,updateAllData,findAll,moveToCatalog,saveAllThemePage,findById,updateDataSetsId,deleteById,findCloneTheme&pid=19116&side=consumer&timestamp=1571817536810 from registry 127.0.0.1:2181 to consumer 192.168.64.1, dubbo version: 2.6.5, current host: 192.168.64.1
2019-10-23 16:24:51,092 [WARN ]  (RegistryDirectory.java.notify:200) -  [DUBBO] Unsupported category providers,configurators,routers in notified url: empty://192.168.64.1/com.tscloud.domain.resource.provider.ILayoutProvider?application=com-tscloud-portal&category=providers,configurators,routers&default.loadbalance=random&default.timeout=20000&dubbo=2.0.2&interface=com.tscloud.domain.resource.provider.ILayoutProvider&methods=findByMap,findById,save,deleteById,update,findByPage,findAll&pid=19116&side=consumer&timestamp=1571817536854 from registry 127.0.0.1:2181 to consumer 192.168.64.1, dubbo version: 2.6.5, current host: 192.168.64.1
2019-10-23 16:24:51,094 [WARN ]  (RegistryDirectory.java.notify:200) -  [DUBBO] Unsupported category providers,configurators,routers in notified url: empty://192.168.64.1/com.tscloud.domain.resource.provider.IDataSourceProvider?application=com-tscloud-portal&category=providers,configurators,routers&default.loadbalance=random&default.timeout=20000&dubbo=2.0.2&interface=com.tscloud.domain.resource.provider.IDataSourceProvider&methods=getDataById,findByMap,findById,getTableByParam,save,deleteById,update,checkName,findByPage,findAll,checkConn&pid=19116&side=consumer&timestamp=1571817536632 from registry 127.0.0.1:2181 to consumer 192.168.64.1, dubbo version: 2.6.5, current host: 192.168.64.1
2019-10-23 16:24:51,095 [WARN ]  (RegistryDirectory.java.notify:200) -  [DUBBO] Unsupported category providers,configurators,routers in notified url: empty://192.168.64.1/com.tscloud.domain.resource.provider.IDataSetsProvider?application=com-tscloud-portal&category=providers,configurators,routers&default.loadbalance=random&default.timeout=20000&dubbo=2.0.2&interface=com.tscloud.domain.resource.provider.IDataSetsProvider&methods=findByMap,findById,save,deleteById,update,checkName,findByPage,findAll,moveToCatalog&pid=19116&side=consumer&timestamp=1571817535955 from registry 127.0.0.1:2181 to consumer 192.168.64.1, dubbo version: 2.6.5, current host: 192.168.64.1
2019-10-23 16:24:51,096 [WARN ]  (RegistryDirectory.java.notify:200) -  [DUBBO] Unsupported category providers,configurators,routers in notified url: empty://192.168.64.1/com.tscloud.domain.resource.provider.IDataSetsCatalogProvider?application=com-tscloud-portal&category=providers,configurators,routers&default.loadbalance=random&default.timeout=20000&dubbo=2.0.2&interface=com.tscloud.domain.resource.provider.IDataSetsCatalogProvider&methods=findByMap,findById,save,deleteById,update,checkName,findByPage,findAll&pid=19116&side=consumer&timestamp=1571817536670 from registry 127.0.0.1:2181 to consumer 192.168.64.1, dubbo version: 2.6.5, current host: 192.168.64.1
2019-10-23 16:24:51,118 [WARN ]  (RegistryDirectory.java.notify:200) -  [DUBBO] Unsupported category providers,configurators,routers in notified url: empty://192.168.64.1/com.tscloud.domain.resource.provider.IDataSetsCatalogProvider?application=com-tscloud-portal&category=providers,configurators,routers&default.loadbalance=random&default.timeout=20000&dubbo=2.0.2&interface=com.tscloud.domain.resource.provider.IDataSetsCatalogProvider&methods=findByMap,findById,save,deleteById,update,checkName,findByPage,findAll&pid=19116&side=consumer&timestamp=1571817535902 from registry 127.0.0.1:2181 to consumer 192.168.64.1, dubbo version: 2.6.5, current host: 192.168.64.1
2019-10-23 16:24:51,119 [WARN ]  (RegistryDirectory.java.notify:200) -  [DUBBO] Unsupported category providers,configurators,routers in notified url: empty://192.168.64.1/com.tscloud.domain.resource.provider.ILayoutProvider?application=com-tscloud-portal&category=providers,configurators,routers&default.loadbalance=random&default.timeout=20000&dubbo=2.0.2&interface=com.tscloud.domain.resource.provider.ILayoutProvider&methods=findByMap,findById,save,deleteById,update,findByPage,findAll&pid=19116&side=consumer&timestamp=1571817536171 from registry 127.0.0.1:2181 to consumer 192.168.64.1, dubbo version: 2.6.5, current host: 192.168.64.1
2019-10-23 16:24:51,120 [WARN ]  (RegistryDirectory.java.notify:200) -  [DUBBO] Unsupported category providers,configurators,routers in notified url: empty://192.168.64.1/com.tscloud.domain.resource.provider.IDataProvider?application=com-tscloud-portal&category=providers,configurators,routers&default.loadbalance=random&default.timeout=20000&dubbo=2.0.2&interface=com.tscloud.domain.resource.provider.IDataProvider&methods=findByMap,findById,saveData,save,deleteById,update,findByPage,findAll&pid=19116&side=consumer&timestamp=1571817536597 from registry 127.0.0.1:2181 to consumer 192.168.64.1, dubbo version: 2.6.5, current host: 192.168.64.1
2019-10-23 16:24:51,120 [WARN ]  (RegistryDirectory.java.notify:200) -  [DUBBO] Unsupported category providers,configurators,routers in notified url: empty://192.168.64.1/com.tscloud.domain.resource.provider.IThemeImgProvider?application=com-tscloud-portal&category=providers,configurators,routers&default.loadbalance=random&default.timeout=20000&dubbo=2.0.2&interface=com.tscloud.domain.resource.provider.IThemeImgProvider&methods=findByMap,findById,save,deleteById,update,findByPage,findAll&pid=19116&side=consumer&timestamp=1571817536037 from registry 127.0.0.1:2181 to consumer 192.168.64.1, dubbo version: 2.6.5, current host: 192.168.64.1
2019-10-23 16:24:51,130 [WARN ]  (RegistryDirectory.java.notify:200) -  [DUBBO] Unsupported category providers,configurators,routers in notified url: empty://192.168.64.1/com.tscloud.domain.resource.provider.IDataSourceProvider?application=com-tscloud-portal&category=providers,configurators,routers&default.loadbalance=random&default.timeout=20000&dubbo=2.0.2&interface=com.tscloud.domain.resource.provider.IDataSourceProvider&methods=getDataById,findByMap,findById,getTableByParam,save,deleteById,update,checkName,findByPage,findAll,checkConn&pid=19116&side=consumer&timestamp=1571817535832 from registry 127.0.0.1:2181 to consumer 192.168.64.1, dubbo version: 2.6.5, current host: 192.168.64.1
2019-10-23 16:24:51,130 [WARN ]  (RegistryDirectory.java.notify:200) -  [DUBBO] Unsupported category providers,configurators,routers in notified url: empty://192.168.64.1/com.tscloud.domain.resource.provider.ICatalogProvider?application=com-tscloud-portal&category=providers,configurators,routers&default.loadbalance=random&default.timeout=20000&dubbo=2.0.2&interface=com.tscloud.domain.resource.provider.ICatalogProvider&methods=findAllByUserId,findByMap,findById,deleteById,save,update,checkName,findByPage,findAll&pid=19116&side=consumer&timestamp=1571817533497 from registry 127.0.0.1:2181 to consumer 192.168.64.1, dubbo version: 2.6.5, current host: 192.168.64.1
